osm_type,osm_id,osm_url,name_ar,name_en,name_raw,type_raw_amenity,type_raw_healthcare,type_normalized,lat,lng,phone,address,name_ar_provided,name_en_provided,phone_provided,address_provided,type_provided
node,432047335,https://www.openstreetmap.org/node/432047335,ابن النفيس,,Ibn Al Nafis,pharmacy,,pharmacy,32.2249043,35.2313375,,,True,False,False,False,True
node,432052667,https://www.openstreetmap.org/node/432052667,عيادة الدكتور محمد الشوبكي,,Dr. Mohammed Al-Shobaki clinic,doctors,,clinic,32.213429,35.3030347,,,True,False,False,False,True
node,432054557,https://www.openstreetmap.org/node/432054557,صيدلية مكه,Mecca Pharmacy,صيدلية مكه,pharmacy,,pharmacy,32.2077823,35.2838194,,,True,True,False,False,True
node,432063158,https://www.openstreetmap.org/node/432063158,صيدلية ساهر.,Saher Pharmacy,صيدلية ساهر,pharmacy,,pharmacy,32.2106731,35.2824143,,,True,True,False,False,True
node,432063402,https://www.openstreetmap.org/node/432063402,سمير القادري,,صيدلية قادري,pharmacy,,pharmacy,32.2178844,35.2720008,,,True,False,False,False,True
node,432065448,https://www.openstreetmap.org/node/432065448,النابلسي,,Al Nabulsi,pharmacy,,pharmacy,32.2192816,35.2434858,,,True,False,False,False,True
node,432073463,https://www.openstreetmap.org/node/432073463,صيدلية سامر,,Samir,pharmacy,,pharmacy,32.2254215,35.24552,,,True,False,False,False,True
node,432076168,https://www.openstreetmap.org/node/432076168,عيادة المستقبل,,Future Clinic,doctors,,clinic,32.2213687,35.2293912,,,True,False,False,False,True
node,432083390,https://www.openstreetmap.org/node/432083390,صيدليه عرفات,,Arafat,pharmacy,,pharmacy,32.2166031,35.2700844,,,True,False,False,False,True
node,432084904,https://www.openstreetmap.org/node/432084904,صيدلية المخفية,,Al Makhfiyah,pharmacy,,pharmacy,32.2191774,35.2367911,,Ibrahim Hashim Street,True,False,False,True,True
node,432092238,https://www.openstreetmap.org/node/432092238,الضاحية,,Al Dahia,pharmacy,,pharmacy,32.2109894,35.27917,,,True,False,False,False,True
node,432094064,https://www.openstreetmap.org/node/432094064,الدكتور عبد الحافظ,,Dr Abd Al Hafiz,doctors,,clinic,32.2222288,35.2630443,,,True,False,False,False,True
node,432110244,https://www.openstreetmap.org/node/432110244,الدكتور جمال ابو حجلة,,Dr Jmal Abu Hajleh,doctors,,clinic,32.2232661,35.2445238,,,True,False,False,False,True
node,432115123,https://www.openstreetmap.org/node/432115123,صيدلية اسامة,Osama Pharmacy,صيدلية اسامة,pharmacy,pharmacy,pharmacy,32.2222007,35.2616395,,,True,True,False,False,True
node,432124125,https://www.openstreetmap.org/node/432124125,أطبّاء بلا حدود,,Medecins Sans Frontieres,doctors,,clinic,32.223225,35.2430766,,,True,False,False,False,True
node,432132006,https://www.openstreetmap.org/node/432132006,صيدلية السرايا,,Al Saraya Pharmacy,pharmacy,,pharmacy,32.2157181,35.2740043,,,True,False,False,False,True
node,432137163,https://www.openstreetmap.org/node/432137163,صيدلية غازي,,Ghazi Pharmacy,pharmacy,,pharmacy,32.224663,35.2588477,,,True,False,False,False,True
node,432138954,https://www.openstreetmap.org/node/432138954,صيدلية المستقبل,Al-Mostaqbal Pharmacy,Al Mostkbl,pharmacy,,pharmacy,32.2177575,35.293013,,,True,True,False,False,True
node,432147461,https://www.openstreetmap.org/node/432147461,صيدلية العرندي,,Asirah,pharmacy,,pharmacy,32.2513251,35.2682093,,,True,False,False,False,True
node,432151180,https://www.openstreetmap.org/node/432151180,صيدلية نابلس,Nablus,صيدلية نابلس,pharmacy,,pharmacy,32.2179482,35.2670849,,نابلس,True,True,False,True,True
node,432161656,https://www.openstreetmap.org/node/432161656,مركز طبي,,Medical Center,doctors,,clinic,32.2493818,35.2681402,,,True,False,False,False,True
node,432164716,https://www.openstreetmap.org/node/432164716,,,صيدلية الجامعه,pharmacy,,pharmacy,32.220833,35.2466422,,Omar Ibn Al-Khattab Street,False,False,False,True,True
node,432172425,https://www.openstreetmap.org/node/432172425,مستشفى الأمل للعلاج الطبيعي,Al Amal For Physical Therapy,مستشفى الأمل للعلاج الطبيعي,hospital,,hospital,32.2065201,35.2643352,,,True,True,False,False,True
node,432173619,https://www.openstreetmap.org/node/432173619,صيدلية فراس,,Firas,pharmacy,,pharmacy,32.2216023,35.2369157,,,True,False,False,False,True
node,432174878,https://www.openstreetmap.org/node/432174878,الهلال الاحمر,,Red Crescent,doctors,,clinic,32.2259224,35.2306719,,,True,False,False,False,True
node,432183938,https://www.openstreetmap.org/node/432183938,مختبر طبي,,Medical Lab,doctors,,clinic,32.2513557,35.2691771,,,True,False,False,False,True
node,432184451,https://www.openstreetmap.org/node/432184451,المستشفى الوطني,,Al Watani Hospital,hospital,,hospital,32.2227088,35.2624703,,,True,False,False,False,True
node,432185284,https://www.openstreetmap.org/node/432185284,صيدلية تبارك,,Tabark Pharmacy,pharmacy,,pharmacy,32.2244324,35.2452774,,,True,False,False,False,True
node,432191026,https://www.openstreetmap.org/node/432191026,مستشفى الاتحاد,,Al Itihad Hospital,hospital,,hospital,32.2286617,35.2572065,,,True,False,False,False,True
node,4114284190,https://www.openstreetmap.org/node/4114284190,,,عيادة الدكتور علام الشنار,clinic,,clinic,32.2221467,35.260475,,Al-Adel Street,False,False,False,True,True
node,4117028002,https://www.openstreetmap.org/node/4117028002,,,Dr. Najeh Numoor,doctors,,clinic,32.2150634,35.2834985,+970599702158,Amman Street,False,False,True,True,True
node,4297074605,https://www.openstreetmap.org/node/4297074605,,,مديرية الصحة المخفية,hospital,,hospital,32.2207133,35.2315003,,Al-Mkhfya Street,False,False,False,True,True
node,4311444891,https://www.openstreetmap.org/node/4311444891,صيدلية النور الجديدة,,AnNour Aljadeda,pharmacy,,pharmacy,32.2222228,35.2598617,,"0097092370618, al-adel street, نابلس",True,False,False,True,True
node,4317842391,https://www.openstreetmap.org/node/4317842391,,,مركز الهلال الأحمر,hospital,,hospital,32.2124759,35.2725611,092380215,Khalit Al-Amoud Street,False,False,True,True,True
node,4317864289,https://www.openstreetmap.org/node/4317864289,,,Ambulance station,hospital,,hospital,32.2124704,35.2726276,092380399,Khalit Al-Amoud Street,False,False,True,True,True
node,4319784900,https://www.openstreetmap.org/node/4319784900,صيدلية صبري,Sabri Pharmacy,صيدلية صبري,pharmacy,,pharmacy,32.2245946,35.2539483,,"Prince Mohammad Street, نابلس",True,True,False,True,True
node,4405292289,https://www.openstreetmap.org/node/4405292289,مركز صحي بلاطة,Balata Health Centre,مركز صحي بلاطة,clinic,,clinic,32.2080215,35.2862201,,مخيم بلاطة,True,True,False,True,True
node,4433190689,https://www.openstreetmap.org/node/4433190689,مستشفى جامعة النجاح,,مستشفى جامعة النجاح,hospital,,hospital,32.2389101,35.2452907,,,True,False,False,False,True
node,4522520492,https://www.openstreetmap.org/node/4522520492,,Dr. Naji Arandi,الدكتور ناجي العرندي,doctors,,clinic,32.2220458,35.2601882,0097092388443,"Al-Adel Street, نابلس",False,True,True,True,True
node,4522530890,https://www.openstreetmap.org/node/4522530890,,Dr. Ziad Arandi,الدكتور زياد العرندي,doctors,,clinic,32.2213527,35.2605094,0097092378333,نابلس,False,True,True,True,True
node,4526873589,https://www.openstreetmap.org/node/4526873589,صيدلية العريض,Areed Pharmacy,صيدلية العريض,pharmacy,,pharmacy,32.2152458,35.2776342,,,True,True,False,False,True
node,4532702589,https://www.openstreetmap.org/node/4532702589,صيدلية الأقصى,Al-Aqsa Pharmacy,صيدلية الأقصى,pharmacy,,pharmacy,32.221593,35.2978655,,,True,True,False,False,True
node,4636074989,https://www.openstreetmap.org/node/4636074989,,Dr Mohammed Hajhamad Clinic,عيادة الدكتور محمد حاج حمد,clinic,,clinic,32.2058844,35.2835964,,Al-Quds Street,False,True,False,True,True
node,4648760390,https://www.openstreetmap.org/node/4648760390,مستوصف التضامن الخيري,,مجمع نابلس الطبي الخيري,,centre,clinic,32.224649,35.247208,09 238 9070,Rafedya Street,True,False,True,True,True
node,4653230493,https://www.openstreetmap.org/node/4653230493,مستودع صيدليته العريض,Al areed pharmacy warehouse,مستودع صيدليته العريض,pharmacy,,pharmacy,32.2159161,35.2769472,,,True,True,False,False,True
node,4654162292,https://www.openstreetmap.org/node/4654162292,صيدلية الشخشير,Aslan Pharmacy,صيدلية أصلان,pharmacy,,pharmacy,32.2213173,35.2603866,,,True,True,False,False,True
node,4654162293,https://www.openstreetmap.org/node/4654162293,صيدلية بلسم,Balsam Pharmacy,صيدلية بلسم,pharmacy,,pharmacy,32.2241628,35.2575332,092335122,Sufian Street,True,True,True,True,True
node,4665647290,https://www.openstreetmap.org/node/4665647290,صيدلية عصيرة الشمالية,,صيدلية عصيرة الشمالية,pharmacy,,pharmacy,32.2514208,35.2667355,,,True,False,False,False,True
node,4694652889,https://www.openstreetmap.org/node/4694652889,,Dr-Othman Othman,,doctors,,clinic,32.2241552,35.227668,,,False,True,False,False,True
node,4699269690,https://www.openstreetmap.org/node/4699269690,عيادة الدكتور عثمان عثمان,Dr-Othman Othman,عيادة الدكتور عثمان عثمان,clinic,,clinic,32.2225142,35.2571716,,,True,True,False,False,True
node,4708713490,https://www.openstreetmap.org/node/4708713490,صيدلية الفيحاء,Al-Faiha' Pharmacy,صيدلية الفيحاء,pharmacy,,pharmacy,32.2207828,35.2455004,092341391,Omar Ibn Al-Khattab Street,True,True,True,True,True
node,4755252221,https://www.openstreetmap.org/node/4755252221,المستشفى الانجيلي العربي,saint Luke's hospital,الانجيلي العربي,hospital,,hospital,32.222953,35.2551483,,نابلس,True,True,False,True,True
node,4788974925,https://www.openstreetmap.org/node/4788974925,منزل الدكتور حازم ابوالحلاوة,,منزل الدكتور حازم ابوالحلاوة,clinic,,clinic,32.2532111,35.264973,0568343509,,True,False,True,False,True
node,4798304621,https://www.openstreetmap.org/node/4798304621,فاروق عزت الزربا,Dr Farouq Izzat Al-Zurba,فاروق عزت الزربا,doctors,,clinic,32.2181205,35.2381531,,Al-Makhfeyah Street,True,True,False,True,True
node,4843420021,https://www.openstreetmap.org/node/4843420021,منزل الدكتور عثمان عثمان,Home of Dr. Othman Othman,منزل الدكتور عثمان عثمان,doctors,,clinic,32.2242442,35.2327213,,,True,True,False,False,True
node,4901729823,https://www.openstreetmap.org/node/4901729823,عيادة ابراهيم جبر للاسنان,Ibrahim jabir dentist,عيادة ابراهيم جبر للاسنان,clinic,,clinic,32.2203231,35.2617569,,,True,True,False,False,True
node,4919923621,https://www.openstreetmap.org/node/4919923621,,Alrahmah patients friends,مستوصف الرحمه,clinic,,clinic,32.2182312,35.2691193,,King Faisal stereetشارع فيصل,False,True,False,True,True
node,4921706121,https://www.openstreetmap.org/node/4921706121,وزارة الصحة - بلاطة البلد,Ministry of Health - Tile Country,وزارة الصحة - بلاطة البلد,pharmacy,,pharmacy,32.2118149,35.2848936,,,True,True,False,False,True
node,4955149321,https://www.openstreetmap.org/node/4955149321,الدكتور هاني النابلسي,Dr. Hani Nabulsi,الدكتور هاني النابلسي,clinic,,clinic,32.2204308,35.263052,,Hitteen Street,True,True,False,True,True
node,4976767621,https://www.openstreetmap.org/node/4976767621,مركز علاج لطب الأسنان,Elaj Dental Center,مركز علاج لطب الأسنان,clinic,,clinic,32.2242588,35.257618,,,True,True,False,False,True
node,5181447222,https://www.openstreetmap.org/node/5181447222,صيدلية مكه,Mecca Pharmacy,صيدلية مكه,pharmacy,,pharmacy,32.2068423,35.2836983,,Al-Quds Street,True,True,False,True,True
node,5181767222,https://www.openstreetmap.org/node/5181767222,,Noora pharmacy,صيدلية نورة,pharmacy,,pharmacy,32.2154955,35.2738683,,,False,True,False,False,True
node,5185586921,https://www.openstreetmap.org/node/5185586921,,,عيادة د احسان جيطان,clinic,,clinic,32.2228103,35.2589586,,نابلس,False,False,False,True,True
node,5185586922,https://www.openstreetmap.org/node/5185586922,د.احسان جيطان,Dr Ihsan Jitan,د.احسان جيطان,doctors,,clinic,32.1976554,35.2947496,,"18, AL-Iqleeme Street",True,True,False,True,True
node,5200693023,https://www.openstreetmap.org/node/5200693023,المستشفى العربي التخصصي,Specialized arab hospital,المستفى العربي التخصصي,hospital,,hospital,32.2233015,35.2398105,092353000,شارع رفيديا,True,True,True,True,True
node,5226005021,https://www.openstreetmap.org/node/5226005021,,,صيدلية سناء,pharmacy,,pharmacy,32.2231927,35.2591955,,Sufyan Street,False,False,False,True,True
node,5226005022,https://www.openstreetmap.org/node/5226005022,,,مستودع المستقبل,pharmacy,,pharmacy,32.2230212,35.2585592,,"Sufian Street, نابلس",False,False,False,True,True
node,5233744421,https://www.openstreetmap.org/node/5233744421,,,عيادة الدكتور محمد رامز الخياط,doctors,,clinic,32.2216753,35.2599976,,نابلس,False,False,False,True,True
node,5285813826,https://www.openstreetmap.org/node/5285813826,,,الدكتور شجيع ياسين - Dr. Shaji'e Yasin,clinic,,clinic,32.2520728,35.2690303,,,False,False,False,False,True
node,5313975723,https://www.openstreetmap.org/node/5313975723,,,صيدلية الأكاديمية,pharmacy,pharmacy,pharmacy,32.2274899,35.2197937,,,False,False,False,False,True
node,5352473342,https://www.openstreetmap.org/node/5352473342,,Majdi,,pharmacy,,pharmacy,32.2185228,35.2652348,,,False,True,False,False,True
node,5352490122,https://www.openstreetmap.org/node/5352490122,,Al Kamal,,pharmacy,,pharmacy,32.2206778,35.2634217,,,False,True,False,False,True
node,5367809664,https://www.openstreetmap.org/node/5367809664,,Hassan Pharmacy,صيدلية حسن,pharmacy,,pharmacy,32.2209987,35.2601539,,,False,True,False,False,True
node,5405639426,https://www.openstreetmap.org/node/5405639426,,jeriatric house red crescent,بيت المسنين الهلال الأحمر,hospital,,hospital,32.2220969,35.248182,092386606,16 th Street,False,True,True,True,True
node,5582520722,https://www.openstreetmap.org/node/5582520722,,Tabanjeh Pharmacy,صيدلية طبنجة,pharmacy,,pharmacy,32.2210026,35.2421352,092351570,,False,True,True,False,True
node,5743634721,https://www.openstreetmap.org/node/5743634721,,Dima IVF Center,مركز ديما للإخصاب,clinic,,clinic,32.2230967,35.257747,092389292,"عمارة الصفوه 4, Sufyan Street, نابلس",False,True,True,True,True
node,5999964388,https://www.openstreetmap.org/node/5999964388,,,صيدلية المخفيه,pharmacy,,pharmacy,32.2192346,35.2366165,,,False,False,False,False,True
node,5999965286,https://www.openstreetmap.org/node/5999965286,,,صيدلية الشخشير,pharmacy,,pharmacy,32.2213524,35.2598101,,نابلس,False,False,False,True,True
node,5999965287,https://www.openstreetmap.org/node/5999965287,,,صيدلية خورشيد,pharmacy,,pharmacy,32.2211258,35.2582297,,نابلس,False,False,False,True,True
node,5999966385,https://www.openstreetmap.org/node/5999966385,,,صيدلية دار الدواء,pharmacy,,pharmacy,32.2322247,35.2427668,,,False,False,False,False,True
node,6012423385,https://www.openstreetmap.org/node/6012423385,صيدلية الوليد,Pharmacy,صيدلية,pharmacy,,pharmacy,32.2215852,35.2593492,,,True,True,False,False,True
node,6013018585,https://www.openstreetmap.org/node/6013018585,,,صيدلية شرف,pharmacy,,pharmacy,32.2210994,35.2592697,,نابلس,False,False,False,True,True
node,6013018586,https://www.openstreetmap.org/node/6013018586,,Al-Rahma Pharmacy,صيدلية الرحمة,pharmacy,,pharmacy,32.2291206,35.2502783,,,False,True,False,False,True
node,6013018687,https://www.openstreetmap.org/node/6013018687,,Fawaz Pharmacy,صيدلية فواز,pharmacy,,pharmacy,32.2239335,35.2501516,,,False,True,False,False,True
node,6013018688,https://www.openstreetmap.org/node/6013018688,,,صيدلية الحنبلي,pharmacy,,pharmacy,32.2207845,35.2646142,,,False,False,False,False,True
node,6274201585,https://www.openstreetmap.org/node/6274201585,,,صيدلية المعتصم,pharmacy,,pharmacy,32.2255385,35.2418155,,,False,False,False,False,True
node,6390534085,https://www.openstreetmap.org/node/6390534085,,,صيدلية الغدير,pharmacy,,pharmacy,32.2326714,35.2502543,,,False,False,False,False,True
node,6597003885,https://www.openstreetmap.org/node/6597003885,,,مستشفى الأمل للتأهيل,clinic,,clinic,32.2106997,35.253177,,,False,False,False,False,True
node,6811975985,https://www.openstreetmap.org/node/6811975985,,Derma clinic,عيادة الدكتورة ولاء سعد الدين,clinic,,clinic,32.2239524,35.2555775,,شارع البساتين,False,True,False,True,True
node,6811978287,https://www.openstreetmap.org/node/6811978287,,,صيدلية انعام,pharmacy,,pharmacy,32.2210125,35.2596791,,نابلس,False,False,False,True,True
node,6966245122,https://www.openstreetmap.org/node/6966245122,,grand center,غراند سنتر,clinic,,clinic,32.2230858,35.2346378,092353724,شارع رفيديا,False,True,True,True,True
node,7570887985,https://www.openstreetmap.org/node/7570887985,,Demaidi Pharm,صيدلية الضميدي,pharmacy,,pharmacy,32.2152504,35.2393712,092377701,نابلس الجديدة,False,True,True,True,True
node,7600038793,https://www.openstreetmap.org/node/7600038793,,,صيدلية المها,pharmacy,,pharmacy,32.2292729,35.2567287,2370647,"09/2370647, شارع الاتحاد",False,False,True,True,True
node,7794300485,https://www.openstreetmap.org/node/7794300485,,Nwaiser dental clinic,عياده نويصر للأسنان,clinic,,clinic,32.2240932,35.2437381,,,False,True,False,False,True
node,7830446586,https://www.openstreetmap.org/node/7830446586,,Rafedia hospital,مستشفى رفيديا,clinic,,clinic,32.2257329,35.2409873,,,False,True,False,False,True
node,8341497204,https://www.openstreetmap.org/node/8341497204,,Hamza Kids Clinic,عيادة الدكتور حمزة للأطفال,clinic,clinic,clinic,32.2515712,35.268477,+97 0597 181616,عصيره الشماليّه,False,True,True,True,True
node,8391971717,https://www.openstreetmap.org/node/8391971717,مركز إسعاف غرب نابلس,Ambulance Center,مركز إسعاف غرب نابلس,hospital,hospital,hospital,32.2367374,35.2327041,,,True,True,False,False,True
node,10872143306,https://www.openstreetmap.org/node/10872143306,,,مجمع الحكيم الطبي,doctors,,clinic,32.2358706,35.2324804,,,False,False,False,False,True
node,11764767469,https://www.openstreetmap.org/node/11764767469,,عيادة العقاد لطب وجراحة العيون,,clinic,,clinic,32.2222627,35.2582551,092379721,شارع فلسطين,False,True,True,True,True
way,433076784,https://www.openstreetmap.org/way/433076784,نابلس التخصصي,,مستشفى نابلس التخصصي,,hospital,hospital,32.2205405,35.246816,,,True,False,False,False,True
